user_id,timestamp,device_type,location,age_group,gender,ad_id,content_type,ad_topic,ad_target_audience,click_through_rate,conversion_rate,engagement_level,view_time,cost_per_click,click_through_rate,conversion_rate,ROI_Category
184,2025-12-21 23:32:46,Desktop,USA,55+,Female,A5604,Text,Health,Young Adults,0.06962907736845507,0.0366,Liked,33,1.08,0.06962907736845507,0.0366,Low
425,2025-12-18 18:29:04,Desktop,UK,35-44,Female,A4649,Image,Fashion,Family Oriented,0.04357867346227629,0.1482,Commented,12,1.0,0.04357867346227629,0.1482,Low
919,2025-08-18 04:50:48,Mobile,Germany,45-54,Male,A6448,Video,Automotive,Travel Lovers,0.03841954239403091,0.0742,Commented,16,0.97,0.03841954239403091,0.0742,Low
336,2025-01-28 18:24:45,Mobile,Canada,55+,Male,A1966,Image,Fashion,Young Adults,0.0436833281205857,0.059,Commented,14,0.53,0.0436833281205857,0.059,Low
607,2025-11-17 13:07:14,Mobile,Canada,45-54,Male,A5216,Video,Electronics,Family Oriented,0.04220930104242659,0.1042,Liked,48,0.59,0.04220930104242659,0.1042,Low
831,2025-08-05 13:23:07,Mobile,India,55+,Female,A2977,Text,Travel,Travel Lovers,0.05402346795087983,0.0248,Shared,49,1.0,0.05402346795087983,0.0248,Low
188,2025-05-05 16:30:37,Tablet,Germany,35-44,Male,A8068,Image,Travel,Family Oriented,0.016342329337806438,0.0793,Shared,47,0.96,0.016342329337806438,0.0793,Low
929,2025-11-09 07:15:09,Desktop,Canada,18-24,Male,A5384,Video,Automotive,Family Oriented,0.12016769721759021,0.0955,Liked,60,1.35,0.12016769721759021,0.0955,Low
879,2025-08-24 15:59:23,Tablet,Canada,35-44,Female,A4874,Video,Electronics,Fitness Lovers,0.0540849726858683,0.086,Shared,46,1.31,0.0540849726858683,0.086,Low
696,2025-06-10 22:08:42,Desktop,USA,25-34,Female,A9247,Image,Fashion,Travel Lovers,0.11924653874570676,0.0387,Shared,40,1.24,0.11924653874570676,0.0387,Low
217,2025-06-20 02:15:19,Mobile,UK,35-44,Female,A9531,Video,Health,Fitness Lovers,0.11156364763969875,0.0731,Ignored,51,0.51,0.11156364763969875,0.0731,Low
468,2025-08-26 02:53:07,Desktop,India,45-54,Male,A4969,Video,Automotive,Young Adults,0.0537145311798754,0.1193,Commented,35,1.37,0.0537145311798754,0.1193,Low
581,2025-11-05 09:32:33,Mobile,USA,55+,Male,A7990,Text,Automotive,Young Adults,0.05471876470794664,0.1021,Shared,24,0.63,0.05471876470794664,0.1021,Low
789,2025-04-02 23:08:11,Desktop,USA,45-54,Male,A2047,Image,Health,Travel Lovers,0.09396609622670968,0.0947,Ignored,37,0.34,0.09396609622670968,0.0947,Low
284,2025-11-19 23:14:31,Mobile,Germany,45-54,Male,A7566,Text,Electronics,Fitness Lovers,0.026430304943799006,0.0555,Liked,44,0.55,0.026430304943799006,0.0555,Low
766,2025-07-12 12:45:43,Desktop,UK,35-44,Male,A2136,Video,Fashion,Fitness Lovers,0.03233142085089846,0.0833,Ignored,35,1.05,0.03233142085089846,0.0833,Low
810,2025-04-14 01:36:15,Mobile,UK,45-54,Female,A6418,Text,Automotive,Travel Lovers,0.026709491581407535,0.0941,Ignored,24,0.33,0.026709491581407535,0.0941,Low
744,2025-06-25 14:35:01,Desktop,Canada,25-34,Female,A1938,Image,Electronics,Travel Lovers,0.05384041652122628,0.0718,Commented,55,0.94,0.05384041652122628,0.0718,Low
952,2025-02-02 03:37:51,Desktop,India,35-44,Female,A9613,Video,Fashion,Travel Lovers,0.06747812073551933,0.0874,Commented,57,0.11,0.06747812073551933,0.0874,Low
282,2025-08-03 18:55:13,Mobile,Germany,45-54,Female,A1384,Text,Electronics,Family Oriented,0.045624758755534386,0.1363,Liked,14,0.89,0.045624758755534386,0.1363,Low
689,2025-06-02 08:39:03,Mobile,India,45-54,Female,A7637,Text,Automotive,Travel Lovers,0.13189557614266426,0.0167,Commented,59,1.14,0.13189557614266426,0.0167,Low
772,2025-07-28 10:29:51,Mobile,USA,18-24,Male,A8806,Text,Electronics,Young Adults,0.12661545159019855,0.0778,Liked,31,0.23,0.12661545159019855,0.0778,Low
337,2025-04-20 20:22:55,Desktop,USA,25-34,Female,A3037,Image,Automotive,Tech Enthusiasts,0.08380876496134211,0.0843,Liked,39,0.15,0.08380876496134211,0.0843,Low
161,2025-06-27 09:03:19,Desktop,UK,55+,Female,A2703,Video,Health,Travel Lovers,0.012234922205190261,0.032,Liked,26,1.36,0.012234922205190261,0.032,Low
740,2025-07-30 06:01:50,Mobile,Germany,45-54,Female,A5416,Video,Travel,Travel Lovers,0.08984837626131129,0.0442,Liked,37,0.7,0.08984837626131129,0.0442,Low
