user_id,timestamp,device_type,location,age_group,gender,ad_id,content_type,ad_topic,ad_target_audience,click_through_rate,conversion_rate,engagement_level,view_time,cost_per_click,click_through_rate,conversion_rate,ROI
896,2025-11-18 22:20:05,Tablet,UK,55+,Male,A5630,Image,Health,Young Adults,0.010588101545459128,0.0657,Ignored,21,0.35,0.010588101545459128,0.0657,0.2
827,2025-11-12 05:00:19,Desktop,Germany,45-54,Female,A6480,Text,Electronics,Family Oriented,0.022195244227212786,0.0237,Ignored,28,0.15,0.022195244227212786,0.0237,0.35
211,2025-10-22 05:21:08,Tablet,India,18-24,Female,A7800,Text,Health,Travel Lovers,0.08172448220914685,0.1055,Commented,47,1.28,0.08172448220914685,0.1055,0.67
897,2025-03-02 14:17:27,Desktop,USA,25-34,Male,A1514,Video,Health,Fitness Lovers,0.12399486405241776,0.0332,Liked,55,1.2,0.12399486405241776,0.0332,0.34
293,2025-07-25 09:47:22,Desktop,Germany,25-34,Male,A8366,Image,Health,Tech Enthusiasts,0.04475737257276307,0.1258,Shared,40,0.67,0.04475737257276307,0.1258,0.84
503,2025-06-29 20:19:52,Desktop,USA,25-34,Female,A7892,Text,Health,Travel Lovers,0.0105870822695937,0.131,Ignored,13,0.98,0.0105870822695937,0.131,0.14
268,2025-05-27 13:42:38,Mobile,Canada,45-54,Male,A1927,Text,Electronics,Young Adults,0.040898019944677476,0.0406,Liked,11,1.31,0.040898019944677476,0.0406,0.13
507,2025-03-03 01:20:17,Desktop,Canada,35-44,Female,A6049,Text,Fashion,Tech Enthusiasts,0.04868660593664081,0.0997,Shared,28,0.52,0.04868660593664081,0.0997,0.93
707,2025-06-30 05:59:50,Mobile,UK,18-24,Female,A8295,Image,Fashion,Fitness Lovers,0.14480889733442337,0.01,Shared,51,0.52,0.14480889733442337,0.01,0.28
708,2025-03-01 03:01:41,Mobile,Germany,45-54,Male,A4415,Image,Travel,Young Adults,0.11620933209282035,0.1008,Liked,44,0.98,0.11620933209282035,0.1008,1.2
327,2025-12-23 18:58:28,Desktop,Germany,55+,Male,A7148,Image,Automotive,Travel Lovers,0.11290504709801072,0.1068,Ignored,45,0.55,0.11290504709801072,0.1068,2.19
735,2025-08-20 16:24:01,Desktop,Germany,18-24,Male,A3444,Image,Fashion,Fitness Lovers,0.1490457191872641,0.1397,Shared,36,0.37,0.1490457191872641,0.1397,5.63
649,2025-01-08 03:24:57,Tablet,USA,45-54,Female,A2970,Image,Fashion,Tech Enthusiasts,0.1068708453263587,0.0804,Commented,31,0.37,0.1068708453263587,0.0804,2.32
616,2025-09-08 11:05:27,Desktop,USA,18-24,Male,A9023,Video,Electronics,Travel Lovers,0.1399016767906327,0.1204,Liked,14,0.83,0.1399016767906327,0.1204,2.03
811,2025-12-03 09:06:23,Desktop,India,25-34,Female,A5257,Video,Health,Travel Lovers,0.09627779365688197,0.137,Shared,50,1.0,0.09627779365688197,0.137,1.32
263,2025-11-12 11:11:21,Tablet,India,35-44,Male,A3408,Video,Automotive,Family Oriented,0.04459308044967117,0.1452,Liked,48,0.21,0.04459308044967117,0.1452,3.08
489,2025-01-08 11:19:30,Mobile,UK,18-24,Male,A5769,Text,Travel,Travel Lovers,0.05440251776067922,0.0562,Shared,45,0.55,0.05440251776067922,0.0562,0.56
616,2025-03-08 15:58:22,Desktop,Germany,45-54,Male,A7990,Image,Health,Fitness Lovers,0.14492245819715494,0.0131,Shared,59,1.27,0.14492245819715494,0.0131,0.15
979,2025-11-24 22:05:33,Desktop,India,25-34,Female,A9973,Video,Travel,Travel Lovers,0.05770020754439955,0.1489,Liked,31,1.0,0.05770020754439955,0.1489,0.86
218,2025-02-15 00:21:42,Desktop,India,55+,Female,A1463,Image,Automotive,Tech Enthusiasts,0.12065054699103941,0.0714,Shared,26,0.53,0.12065054699103941,0.0714,1.63
348,2025-05-24 03:25:48,Mobile,UK,25-34,Female,A6280,Image,Fashion,Tech Enthusiasts,0.14569522404112722,0.0445,Shared,45,0.82,0.14569522404112722,0.0445,0.79
467,2025-12-19 13:37:31,Mobile,India,55+,Female,A7924,Image,Fashion,Travel Lovers,0.11709706089890823,0.0241,Commented,52,0.13,0.11709706089890823,0.0241,2.17
276,2025-07-25 18:38:14,Mobile,UK,25-34,Female,A1240,Video,Automotive,Travel Lovers,0.023765034216960378,0.1241,Liked,25,0.96,0.023765034216960378,0.1241,0.31
927,2025-02-01 20:29:49,Mobile,India,25-34,Male,A2258,Text,Electronics,Tech Enthusiasts,0.0461042590865851,0.0131,Commented,43,1.13,0.0461042590865851,0.0131,0.05
796,2025-06-15 21:46:17,Desktop,USA,45-54,Female,A7126,Video,Automotive,Young Adults,0.11985177285615643,0.1305,Ignored,54,0.37,0.11985177285615643,0.1305,4.23
802,2025-07-10 13:18:53,Desktop,USA,18-24,Female,A1402,Text,Fashion,Tech Enthusiasts,0.07593975758738779,0.0291,Shared,50,0.89,0.07593975758738779,0.0291,0.25
320,2025-02-01 19:23:34,Desktop,USA,35-44,Female,A3832,Video,Health,Family Oriented,0.09111551748216125,0.0113,Liked,17,0.53,0.09111551748216125,0.0113,0.19
648,2025-10-04 07:13:07,Mobile,India,55+,Male,A9109,Image,Fashion,Tech Enthusiasts,0.14543569971284065,0.0648,Ignored,53,1.48,0.14543569971284065,0.0648,0.64
934,2025-07-29 11:42:00,Tablet,Germany,45-54,Female,A2318,Video,Travel,Fitness Lovers,0.013662117660007616,0.113,Shared,38,0.89,0.013662117660007616,0.113,0.17
374,2025-06-03 04:04:12,Desktop,Canada,45-54,Female,A8961,Image,Automotive,Family Oriented,0.0833073786567041,0.0373,Liked,12,1.24,0.0833073786567041,0.0373,0.25
445,2025-06-12 12:05:55,Tablet,USA,18-24,Female,A4632,Text,Electronics,Travel Lovers,0.10162111204823875,0.0578,Shared,60,0.74,0.10162111204823875,0.0578,0.79
821,2025-06-15 07:12:41,Desktop,UK,55+,Male,A8130,Image,Health,Young Adults,0.031373817187661884,0.1455,Liked,21,0.7,0.031373817187661884,0.1455,0.65
860,2025-02-08 08:21:58,Tablet,Canada,35-44,Female,A2295,Image,Fashion,Travel Lovers,0.1448433490657889,0.0603,Shared,16,0.12,0.1448433490657889,0.0603,7.28
950,2025-05-05 11:12:01,Tablet,UK,25-34,Female,A7968,Text,Automotive,Family Oriented,0.03759095999118323,0.0749,Commented,49,0.97,0.03759095999118323,0.0749,0.29
945,2025-03-12 06:36:32,Mobile,USA,25-34,Male,A2938,Image,Fashion,Fitness Lovers,0.09912948843074763,0.0831,Ignored,32,0.37,0.09912948843074763,0.0831,2.23
456,2025-11-14 22:24:24,Desktop,USA,25-34,Female,A7739,Text,Fashion,Young Adults,0.025016506512885013,0.0951,Liked,41,1.45,0.025016506512885013,0.0951,0.16
139,2025-07-19 00:29:59,Mobile,Canada,55+,Male,A7129,Image,Health,Travel Lovers,0.07064866677159459,0.0687,Shared,44,0.38,0.07064866677159459,0.0687,1.28
763,2025-08-21 20:50:08,Tablet,India,55+,Female,A2797,Image,Health,Fitness Lovers,0.04151004204350418,0.0151,Ignored,13,1.22,0.04151004204350418,0.0151,0.05
327,2025-12-07 10:13:39,Desktop,USA,45-54,Male,A7625,Image,Fashion,Young Adults,0.039926676256126815,0.0386,Ignored,57,0.73,0.039926676256126815,0.0386,0.21
754,2025-11-24 20:58:10,Desktop,India,25-34,Female,A9933,Image,Travel,Family Oriented,0.07003032680953199,0.087,Liked,50,0.62,0.07003032680953199,0.087,0.98
440,2025-03-24 06:39:40,Mobile,Germany,45-54,Male,A4559,Image,Health,Tech Enthusiasts,0.09538953806043257,0.1294,Liked,48,0.43,0.09538953806043257,0.1294,2.87
656,2025-06-05 08:11:37,Desktop,Canada,18-24,Female,A2109,Video,Fashion,Young Adults,0.05039262932591287,0.1436,Liked,56,0.16,0.05039262932591287,0.1436,4.52
772,2025-10-11 00:11:09,Mobile,Canada,55+,Male,A7168,Image,Electronics,Fitness Lovers,0.07432156620651491,0.0571,Shared,42,1.23,0.07432156620651491,0.0571,0.35
989,2025-01-09 15:27:05,Tablet,India,18-24,Female,A7213,Text,Automotive,Tech Enthusiasts,0.06519797928963707,0.1387,Shared,21,0.41,0.06519797928963707,0.1387,2.21
678,2025-12-14 19:17:17,Tablet,UK,35-44,Male,A4562,Video,Fashion,Family Oriented,0.11921687050808134,0.0418,Shared,51,1.17,0.11921687050808134,0.0418,0.43
858,2025-12-10 05:19:42,Desktop,Germany,25-34,Male,A9097,Text,Health,Fitness Lovers,0.06235480347857098,0.0218,Liked,40,0.85,0.06235480347857098,0.0218,0.16
552,2025-12-26 01:38:56,Desktop,Germany,45-54,Male,A8996,Text,Fashion,Tech Enthusiasts,0.07003611697223527,0.0185,Ignored,47,0.26,0.07003611697223527,0.0185,0.5
260,2025-10-28 20:50:19,Desktop,Canada,35-44,Male,A5128,Text,Travel,Travel Lovers,0.05106857774199794,0.052,Ignored,16,1.46,0.05106857774199794,0.052,0.18
910,2025-12-25 18:19:25,Desktop,USA,55+,Male,A9235,Text,Electronics,Young Adults,0.09040348307236397,0.1314,Shared,14,0.45,0.09040348307236397,0.1314,2.64
980,2025-10-13 12:00:41,Tablet,India,18-24,Female,A1459,Text,Health,Family Oriented,0.06798110199529629,0.0385,Commented,58,1.36,0.06798110199529629,0.0385,0.19
560,2025-06-04 21:23:26,Tablet,Germany,25-34,Male,A4001,Image,Automotive,Travel Lovers,0.059724657673751284,0.0454,Shared,47,0.7,0.059724657673751284,0.0454,0.39
707,2025-10-14 23:33:21,Desktop,India,45-54,Female,A4503,Image,Fashion,Tech Enthusiasts,0.06790576474467011,0.0502,Shared,26,1.09,0.06790576474467011,0.0502,0.31
262,2025-07-20 12:46:21,Desktop,Germany,35-44,Female,A9752,Text,Electronics,Young Adults,0.06619210188058568,0.0773,Liked,48,1.19,0.06619210188058568,0.0773,0.43
311,2025-08-15 23:57:49,Mobile,Germany,25-34,Female,A5788,Text,Health,Travel Lovers,0.010280655303799425,0.1073,Commented,60,1.07,0.010280655303799425,0.1073,0.1
268,2025-08-05 18:16:35,Desktop,UK,18-24,Female,A1680,Text,Health,Fitness Lovers,0.05573259706829998,0.0853,Ignored,12,0.57,0.05573259706829998,0.0853,0.83
283,2025-02-04 05:31:10,Tablet,UK,25-34,Female,A6339,Video,Health,Tech Enthusiasts,0.05719040878121674,0.1456,Commented,43,0.31,0.05719040878121674,0.1456,2.69
400,2025-03-03 04:03:32,Desktop,UK,55+,Female,A4473,Image,Electronics,Family Oriented,0.04448966687148608,0.1217,Shared,17,0.33,0.04448966687148608,0.1217,1.64
329,2025-12-12 23:40:05,Mobile,UK,35-44,Male,A8525,Image,Health,Family Oriented,0.10092255324009,0.0461,Commented,19,0.94,0.10092255324009,0.0461,0.49
748,2025-11-11 01:45:17,Mobile,USA,45-54,Male,A7970,Text,Travel,Young Adults,0.05579149434521121,0.0874,Commented,52,0.37,0.05579149434521121,0.0874,1.32
562,2025-05-29 09:37:52,Desktop,Germany,18-24,Female,A2537,Image,Automotive,Tech Enthusiasts,0.06174326030948424,0.1241,Liked,33,0.26,0.06174326030948424,0.1241,2.95
231,2025-05-02 13:40:28,Tablet,UK,35-44,Female,A8957,Text,Automotive,Family Oriented,0.045271444312344714,0.1148,Shared,30,0.41,0.045271444312344714,0.1148,1.27
406,2025-07-28 14:09:06,Desktop,Germany,18-24,Female,A6358,Text,Electronics,Family Oriented,0.12167168622206066,0.0902,Ignored,42,0.4,0.12167168622206066,0.0902,2.74
451,2025-02-20 22:55:11,Mobile,USA,45-54,Female,A5802,Image,Electronics,Family Oriented,0.07644902044539444,0.0759,Commented,56,0.94,0.07644902044539444,0.0759,0.62
244,2025-05-12 15:21:27,Desktop,UK,45-54,Female,A7590,Image,Travel,Travel Lovers,0.09157964284854057,0.0594,Ignored,27,1.13,0.09157964284854057,0.0594,0.48
686,2025-12-07 04:19:12,Desktop,USA,25-34,Male,A6648,Video,Electronics,Family Oriented,0.04377100039765826,0.0512,Liked,52,1.07,0.04377100039765826,0.0512,0.21
882,2025-02-12 20:04:31,Mobile,Canada,35-44,Male,A5902,Text,Health,Family Oriented,0.04148232032206919,0.1311,Liked,41,0.79,0.04148232032206919,0.1311,0.69
463,2025-06-15 10:02:24,Desktop,Canada,25-34,Female,A8339,Image,Automotive,Tech Enthusiasts,0.024121995660099947,0.1278,Shared,41,1.03,0.024121995660099947,0.1278,0.3
