user_id,timestamp,device_type,location,age_group,gender,ad_id,content_type,ad_topic,ad_target_audience,click_through_rate,conversion_rate,engagement_level,view_time,cost_per_click,click_through_rate,conversion_rate,ROI_Category
1,12/21/2025 23:32,Desktop,USA,55+,Female,A5604,Text,Health,Young Adults,0.069629077,0.0366,Liked,33,1.08,0.069629077,0.0366,Low
2,12/18/2025 18:29,Desktop,UK,35-44,Female,A4649,Image,Fashion,Family Oriented,0.043578673,0.1482,Commented,12,1,0.043578673,0.1482,Low
3,8/18/2025 4:50,Mobile,Germany,45-54,Male,A6448,Video,Automotive,Travel Lovers,0.038419542,0.0742,Commented,16,0.97,0.038419542,0.0742,Low
4,1/28/2025 18:24,Mobile,Canada,55+,Male,A1966,Image,Fashion,Young Adults,0.043683328,0.059,Commented,14,0.53,0.043683328,0.059,Low
5,11/17/2025 13:07,Mobile,Canada,45-54,Male,A5216,Video,Electronics,Family Oriented,0.042209301,0.1042,Liked,48,0.59,0.042209301,0.1042,Low
6,8/5/2025 13:23,Mobile,India,55+,Female,A2977,Text,Travel,Travel Lovers,0.054023468,0.0248,Shared,49,1,0.054023468,0.0248,Low
7,5/5/2025 16:30,Tablet,Germany,35-44,Male,A8068,Image,Travel,Family Oriented,0.016342329337806438,0.0793,Shared,47,0.96,0.016342329337806438,0.0793,Low
8,11/9/2025 7:15,Desktop,Canada,18-24,Male,A5384,Video,Automotive,Family Oriented,0.12016769721759021,0.0955,Liked,60,1.35,0.12016769721759021,0.0955,Low
9,8/24/2025 15:59,Tablet,Canada,35-44,Female,A4874,Video,Electronics,Fitness Lovers,0.054084973,0.086,Shared,46,1.31,0.054084973,0.086,Low
10,6/10/2025 22:08,Desktop,USA,25-34,Female,A9247,Image,Fashion,Travel Lovers,0.11924653874570676,0.0387,Shared,40,1.24,0.11924653874570676,0.0387,Low
11,6/20/2025 2:15,Mobile,UK,35-44,Female,A9531,Video,Health,Fitness Lovers,0.11156364763969875,0.0731,Ignored,51,0.51,0.11156364763969875,0.0731,Low
12,8/26/2025 2:53,Desktop,India,45-54,Male,A4969,Video,Automotive,Young Adults,0.053714531,0.1193,Commented,35,1.37,0.053714531,0.1193,Low
13,11/5/2025 9:32,Mobile,USA,55+,Male,A7990,Text,Automotive,Young Adults,0.054718765,0.1021,Shared,24,0.63,0.054718765,0.1021,Low
14,4/2/2025 23:08,Desktop,USA,45-54,Male,A2047,Image,Health,Travel Lovers,0.093966096,0.0947,Ignored,37,0.34,0.093966096,0.0947,Low
